Port Name,State,Port Code,Border,Date,Measure,Value,Latitude,Longitude,Point
Porthill,Idaho,3308,US-Canada Border,10-2019,Pedestrians,11,49.0,-116.499,POINT (-116.49925 48.999861)
Dalton Cache,Alaska,3106,US-Canada Border,08-2020,Personal Vehicle Passengers,288,59.451,-136.362,POINT (-136.361944 59.450556)
Columbus,New Mexico,2406,US-Mexico Border,05-2020,Truck Containers Empty,173,31.784,-107.628,POINT (-107.627948 31.783742)
Calexico East,California,2507,US-Mexico Border,02-2022,Pedestrians,34587,32.673,-115.388,POINT (-115.388018 32.673389)
Norton,Vermont,211,US-Canada Border,12-2021,Rail Containers Loaded,722,45.011,-71.793,POINT (-71.793219 45.010771)
Detroit,Michigan,3801,US-Canada Border,04-2020,Truck Containers Empty,9906,42.332,-83.048,POINT (-83.047924 42.331685)
Progreso,Texas,2309,US-Mexico Border,01-2020,Trucks,5074,26.062,-97.95,POINT (-97.949958 26.062133)
Sarles,North Dakota,3409,US-Canada Border,12-2019,Bus Passengers,53,49.0,-98.938,POINT (-98.938361 49.000027)
Oroville,Washington,3019,US-Canada Border,10-2021,Truck Containers Empty,771,49.0,-119.462,POINT (-119.461833 49.000083)
Baudette,Minnesota,3424,US-Canada Border,06-2020,Personal Vehicle Passengers,1020,48.719,-94.59,POINT (-94.590467 48.719109)
Ogdensburg,New York,701,US-Canada Border,08-2021,Truck Containers Empty,707,44.733,-75.458,POINT (-75.4577501759 44.7330898624)
Madawaska,Maine,109,US-Canada Border,04-2020,Personal Vehicles,1499,47.36,-68.329,POINT (-68.328684 47.360052)
Port Huron,Michigan,3802,US-Canada Border,03-2022,Train Passengers,562,42.999,-82.424,POINT (-82.423611 42.998611)
Buffalo Niagara Falls,New York,901,US-Canada Border,11-2021,Truck Containers Loaded,60370,43.095,-79.056,POINT (-79.055847 43.09549)
El Paso,Texas,2402,US-Mexico Border,04-2020,Train Passengers,455,31.764,-106.451,POINT (-106.451188 31.764363)
Bridgewater,Maine,127,US-Canada Border,10-2000,Trucks,782,46.45,-67.785,POINT (-67.78484 46.450335)
Calexico East,California,2507,US-Mexico Border,03-2019,Pedestrians,38188,32.673,-115.388,POINT (-115.388018 32.673389)
Laredo,Texas,2304,US-Mexico Border,03-2022,Trains,386,27.5,-99.507,POINT (-99.507412 27.499561)
Porthill,Idaho,3308,US-Canada Border,04-2020,Truck Containers Empty,276,49.0,-116.499,POINT (-116.49925 48.999861)
Port Huron,Michigan,3802,US-Canada Border,07-2019,Buses,178,42.999,-82.424,POINT (-82.423611 42.998611)
Calais,Maine,115,US-Canada Border,03-2019,Rail Containers Empty,120,45.189,-67.275,POINT (-67.275381 45.188548)
Roseau,Minnesota,3426,US-Canada Border,06-2021,Trucks,342,49.0,-95.766,POINT (-95.766469 48.999538)
Highgate Springs,Vermont,212,US-Canada Border,07-2020,Rail Containers Loaded,652,45.015,-73.085,POINT (-73.085037 45.015414)
Eastport,Maine,103,US-Canada Border,01-2021,Personal Vehicles,4291,44.859,-66.98,POINT (-66.98007566 44.8594395785)
Limestone,Maine,118,US-Canada Border,12-2020,Personal Vehicle Passengers,158,46.925,-67.79,POINT (-67.789597 46.924555)
Laredo,Texas,2304,US-Mexico Border,04-2019,Buses,3626,27.5,-99.507,POINT (-99.507412 27.499561)
Presidio,Texas,2403,US-Mexico Border,09-2020,Trucks,720,29.562,-104.395,POINT (-104.394907 29.561827)
